move_id,pokemon_id
181,641
586,658
728,78
42,710
345,345
41,556
465,40
316,367
742,447
437,252
401,698
66,259
424,508
418,699
162,514
356,59
784,182
197,660
199,172
375,434
246,541
584,277
45,588
685,648
522,582
552,416
624,142
632,255
356,292
687,739
721,578
331,480
357,280
443,237
38,10
235,242
624,647
175,426
375,108
570,420
251,418
80,597
336,14
382,765
458,206
776,25
145,720
364,422
742,49
758,132
102,106
682,619
470,230
21,320
529,144
646,341
46,210
487,445
300,638
326,509
734,108
626,12
705,705
546,636
765,625
599,264
287,448
213,299
441,415
428,628
328,671
35,431
638,629
316,791
416,121
491,450
302,493
703,616
55,453
632,345
284,10
183,603
210,753
714,109
483,469
165,492
526,513
87,442
676,335
77,456
390,297
739,606
398,648
732,783
625,434
793,43
588,421
525,697
58,193
119,316
335,475
110,118
425,367
426,483
17,428
203,319
716,538
667,370
602,258
83,508
309,555
94,214
654,481
687,122
734,244
711,89
405,158
421,120
522,74
50,117
166,271
585,341
312,659
177,587
30,514
371,784
569,451
179,127
91,135
427,41
415,171
149,639
368,743
323,246
780,53
464,43
70,282
2,690
31,415
231,689
664,570
373,163
233,715
614,637
687,423
132,525
434,190
3,306
722,123
231,385
707,250
504,588
329,119
259,271
240,275
175,333
131,647
802,16
196,464
174,66
129,747
654,676
649,216
766,760
328,562
441,769
36,237
383,312
87,460
481,600
57,43
240,772
591,552
265,773
434,226
478,356
750,9
238,115
796,251
406,255
51,701
473,108
776,303
729,397
43,426
648,455
155,439
574,492
493,709
44,275
85,420
307,517
100,679
513,751
245,689
748,778
704,326
622,706
566,389
760,262
416,509
15,444
759,118
479,514
401,397
135,272
185,544
361,92
101,502
580,598
683,614
283,159
632,2
725,233
546,140
296,398
507,322
84,507
181,448
81,305
537,226
797,286
158,145
509,272
393,201
205,732
224,233
627,57
421,3
234,786
443,537
420,281
609,799
74,644
478,503
113,260
739,341
648,521
429,206
407,750
463,636
367,208
298,215
662,111
471,427
389,400
281,66
2,586
147,743
219,388
1,574
205,659
384,33
710,355
172,361
624,508
295,643
190,186
730,525
431,571
671,247
252,426
429,260
552,377
169,523
374,628
412,558
148,420
534,654
478,598
457,76
130,318
200,375
654,205
274,116
511,33
