trainer_ID,pokemon_name
0,Smeargle
1,Smeargle
2,Wailord
2,Vileplume
3,Armaldo
3,Cradily
4,Armaldo
4,Cradily
5,Carvanha
5,Numel
6,Sandslash
6,Ninetales
7,Weepinbell
7,Gloom
7,Ivysaur
8,Nidorino
8,Nidoking
9,Sandslash
9,Dugtrio
10,Rhyhorn
11,Persian
11,Ninetales
12,Ivysaur
12,Wartortle
12,Charmeleon
12,Charizard
13,Exeggutor
13,Cloyster
13,Arcanine
14,Parasect
14,Dewgong
14,Chansey
15,Kingler
15,Tentacruel
15,Blastoise
16,Bellsprout
16,Weepinbell
16,Victreebel
17,Ivysaur
17,Charmeleon
17,Wartortle
18,Charmeleon
19,Rapidash
20,Rapidash
21,Rapidash
22,Magneton
22,Quagsire
22,Exeggcute
23,Sandslash
24,Horsea
24,Horsea
24,Horsea
25,Electrode
25,Starmie
25,Ninetales
26,Horsea
26,Seadra
27,Butterfree
27,Bellossom
28,Dragonair
29,Poliwhirl
30,Seadra
31,Victreebel
31,Kingler
31,Flareon
32,Victreebel
32,Kingler
32,Flareon
33,Victreebel
33,Kingler
33,Flareon
34,Eevee
34,Vaporeon
34,Jolteon
34,Flareon
35,Goldeen
35,Seaking
36,Parasect
36,Golduck
37,Staryu
37,Starmie
38,Pikachu
38,Blastoise
39,Shellder
39,Cloyster
40,Marill
40,Wartortle
40,Wartortle
41,Rhyhorn
41,Charmeleon
41,Wartortle
42,Skiploom
42,Ninetales
43,Dratini
43,Dragonair
44,Bulbasaur
44,Ivysaur
44,Venusaur
45,Dragonair
46,Charmander
46,Bulbasaur
46,Squirtle
47,Dratini
47,Dratini
47,Dratini
48,Ivysaur
48,Starmie
49,Starmie
49,Starmie
49,Nidoqueen
50,Starmie
50,Starmie
50,Nidoqueen
51,Starmie
51,Starmie
51,Nidoqueen
52,Pidgeot
52,Electabuzz
53,Flareon
53,Tangela
53,Tauros
54,Manectric
54,Muk
55,Gloom
55,Azumarill
56,Zangoose
57,Wingull
57,Numel
57,Roselia
58,Wingull
58,Numel
58,Roselia
59,Pelipper
59,Numel
59,Roselia
60,Pelipper
60,Numel
60,Roselia
61,Pelipper
61,Camerupt
61,Roselia
62,Mawile
62,Sableye
63,Swellow
63,Trapinch
63,Wailmer
63,Magneton
63,Shiftry
64,Cacturne
65,Lairon
65,Manectric
66,Linoone
67,Roselia
68,Milotic
69,Zangoose
70,Sandslash
70,Ninetales
71,Mawile
71,Starmie
72,Linoone
73,Delcatty
74,Nosepass
74,Medicham
74,Ludicolo
75,Kecleon
75,Rhyhorn
75,Tentacruel
76,Linoone
77,Delcatty
78,Shiftry
78,Graveler
78,Loudred
79,Dodrio
79,Lairon
79,Kadabra
80,Claydol
81,Sableye
81,Medicham
81,Sharpedo
82,Swellow
82,Kadabra
82,Manectric
82,Shiftry
83,Graveler
83,Magcargo
83,Ludicolo
84,Mawile
84,Roselia
84,Pelipper
85,Electrike
85,Wailmer
85,Makuhita
86,Electrike
86,Wailmer
86,Makuhita
87,Manectric
87,Wailmer
87,Makuhita
88,Manectric
88,Wailmer
88,Makuhita
89,Manectric
89,Wailmer
89,Hariyama
90,Kecleon
91,Magneton
91,Muk
92,Gloom
92,Azumarill
93,Wigglytuff
94,Manectric
94,Linoone
95,Vigoroth
96,Swellow
96,Trapinch
96,Wailmer
96,Magneton
96,Shiftry
97,Wingull
97,Numel
97,Roselia
98,Wingull
